feature,importance
poutcome_success,1.8360000624471755
contact_unknown,1.1581259566258644
month_nov,0.7496560555550539
month_oct,0.7193546010210876
month_mar,0.7107026813704479
month_aug,0.7023432197099855
month_jan,0.5534768069721039
month_sep,0.534803243493636
month_jul,0.4797188146041463
loan_yes,0.4403139866033228
job_retired,0.4377352494097102
housing_yes,0.43641420379400897
education_tertiary,0.39364100674276076
previously_contacted,0.3876399440236891
job_student,0.3646738112127203
month_may,0.30143816947056307
month_dec,0.2838736079699847
job_housemaid,0.23160278484067828
month_jun,0.2280985422823604
marital_single,0.22588000175172002
education_secondary,0.16565075413585856
contact_telephone,0.13723307324532705
month_feb,0.13526412617516426
education_unknown,0.12841110481945445
job_entrepreneur,0.11120070043589711
job_services,0.11046497614264186
default_yes,0.10281428624424668
job_self-employed,0.0881065172169596
poutcome_other,0.08557698219164496
job_unemployed,0.0778624569186905
job_technician,0.07733354217694456
marital_married,0.064481538748531
campaign,0.04966491899974308
job_unknown,0.04636796824607251
poutcome_unknown,0.03186447429003285
job_management,0.03172079229230872
job_blue-collar,0.031120581341073813
previous,0.004058717368927449
day,0.0016715357449655001
pdays,0.0008434953240121381
age,4.624296297321373e-05
balance,2.8951009895664953e-05
